game_ids,goal_ids,global_goal_times
314,892,28329
314,893,28335
315,894,28363
315,895,28375
315,896,28427
316,897,28478
316,898,28500
316,899,28503
317,900,28585
317,901,28610
318,902,28626
318,903,28664
319,904,28719
319,905,28746
319,906,28790
319,907,28796
320,908,28804
320,909,28818
320,910,28820
320,911,28856
321,912,28914
321,913,28938
321,914,28942
321,915,28969
321,916,28974
322,917,29061
323,918,29080
324,919,29184
324,920,29250
325,921,29282
326,922,29364
326,923,29367
326,924,29427
326,925,29430
327,926,29463
327,927,29485
327,928,29504
327,929,29512
327,930,29520
328,931,29551
328,932,29610
329,933,29656
329,934,29679
330,935,29702
330,936,29728
330,937,29730
330,938,29771
331,939,29809
331,940,29839
331,941,29870
332,942,29895
332,943,29943
332,944,29961
332,945,29970
333,946,30021
333,947,30023
334,948,30070
335,949,30172
335,950,30200
336,951,30245
337,952,30383
338,953,30425
338,954,30500
338,955,30510
339,956,30547
339,957,30577
339,958,30592
339,959,30600
341,960,30717
341,961,30721
341,962,30749
341,963,30776
342,964,30793
342,965,30808
342,966,30836
342,967,30844
343,968,30887
343,969,30917
343,970,30931
343,971,30939
343,972,30947
344,973,31017
344,974,31041
345,975,31058
345,976,31062
345,977,31064
345,978,31074
346,979,31141
346,980,31230
347,981,31318
348,982,31348
348,983,31357
348,984,31365
348,985,31400
349,986,31464
349,987,31476
350,988,31501
350,989,31523
350,990,31545
350,991,31566
350,992,31583
351,993,31657
353,994,31849
354,995,31872
354,996,31880
354,997,31892
354,998,31915
354,999,31927
354,1000,31946
355,1001,31991
355,1002,31999
355,1003,32027
356,1004,32058
356,1005,32115
357,1006,32189
357,1007,32216
357,1008,32220
358,1009,32283
359,1010,32321
359,1011,32353
360,1012,32417
360,1013,32420
361,1014,32580
362,1015,32596
362,1016,32649
362,1017,32652
363,1018,32745
364,1019,32788
364,1020,32791
364,1021,32799
364,1022,32830
364,1023,32850
365,1024,32863
365,1025,32870
365,1026,32878
365,1027,32904
365,1028,32936
366,1029,32988
366,1030,32991
366,1031,33015
367,1032,33038
367,1033,33090
368,1034,33129
368,1035,33181
369,1036,33280
370,1037,33327
370,1038,33328
370,1039,33338
370,1040,33363
370,1041,33372
371,1042,33442
371,1043,33453
371,1044,33455
371,1045,33480
372,1046,33504
372,1047,33512
372,1048,33517
372,1049,33525
372,1050,33536
372,1051,33545
372,1052,33553
372,1053,33560
373,1054,33579
373,1055,33581
373,1056,33631
373,1057,33660
375,1058,33767
375,1059,33831
376,1060,33863
376,1061,33894
377,1062,33971
377,1063,33985
378,1064,34023
378,1065,34089
378,1066,34092
378,1067,34095
379,1068,34125
379,1069,34149
379,1070,34156
379,1071,34181
379,1072,34188
