,game_ids,goal_times,global_goal_times
934,330,2,29702
935,330,28,29728
936,330,30,29730
937,330,71,29771
938,331,19,29809
939,331,49,29839
940,331,80,29870
941,332,15,29895
942,332,63,29943
943,332,81,29961
944,332,90,29970
945,333,51,30021
946,333,53,30023
947,334,10,30070
948,335,22,30172
949,335,50,30200
950,336,5,30245
951,337,53,30383
952,338,5,30425
953,338,80,30500
954,338,90,30510
955,339,37,30547
956,339,67,30577
957,339,82,30592
958,339,90,30600
959,341,27,30717
960,341,31,30721
961,341,59,30749
962,341,86,30776
963,342,13,30793
964,342,28,30808
965,342,56,30836
966,342,64,30844
967,343,17,30887
968,343,47,30917
969,343,61,30931
970,343,69,30939
971,343,77,30947
972,344,57,31017
973,344,81,31041
974,345,8,31058
975,345,12,31062
976,345,14,31064
977,345,24,31074
978,346,1,31141
979,346,90,31230
980,347,88,31318
981,348,28,31348
982,348,37,31357
983,348,45,31365
984,348,80,31400
985,349,54,31464
986,349,66,31476
987,350,1,31501
988,350,23,31523
989,350,45,31545
990,350,66,31566
991,350,83,31583
992,351,67,31657
993,353,79,31849
994,354,12,31872
995,354,20,31880
996,354,32,31892
997,354,55,31915
998,354,67,31927
999,354,86,31946
1000,355,41,31991
1001,355,49,31999
1002,355,77,32027
1003,356,18,32058
1004,356,75,32115
1005,357,59,32189
1006,357,86,32216
1007,357,90,32220
1008,358,63,32283
1009,359,11,32321
1010,359,43,32353
1011,360,17,32417
1012,360,20,32420
1013,361,90,32580
1014,362,16,32596
1015,362,69,32649
1016,362,72,32652
1017,363,75,32745
1018,364,28,32788
1019,364,31,32791
1020,364,39,32799
1021,364,70,32830
1022,364,90,32850
1023,365,13,32863
1024,365,20,32870
1025,365,28,32878
1026,365,54,32904
1027,365,86,32936
1028,366,48,32988
1029,366,51,32991
1030,366,75,33015
1031,367,8,33038
1032,367,60,33090
1033,368,9,33129
1034,368,61,33181
1035,369,70,33280
1036,370,27,33327
1037,370,28,33328
1038,370,38,33338
1039,370,63,33363
1040,370,72,33372
1041,371,52,33442
1042,371,63,33453
1043,371,65,33455
1044,371,90,33480
1045,372,24,33504
1046,372,32,33512
1047,372,37,33517
1048,372,45,33525
1049,372,56,33536
1050,372,65,33545
1051,372,73,33553
1052,372,80,33560
1053,373,9,33579
1054,373,11,33581
1055,373,61,33631
1056,373,90,33660
1057,375,17,33767
1058,375,81,33831
1059,376,23,33863
1060,376,54,33894
1061,377,41,33971
1062,377,55,33985
1063,378,3,34023
1064,378,69,34089
1065,378,72,34092
1066,378,75,34095
1067,379,15,34125
1068,379,39,34149
1069,379,46,34156
1070,379,71,34181
1071,379,78,34188
